"","mean","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$","399.53","389.19","410.24","365.67","430.54"
"$\mu_{site}$","16.17","9.37","23.01","-3.96","36.13"
"$\mu_{method}$","-5.7","-10.01","-1.49","-18.72","7.46"
"$\mu_{sitexmethod}$","-2.44","-9.26","3.99","-20.62","16.73"
"$\sigma_{site}$","14.45","6.36","20.02","0.58","41.27"
"$\sigma_{method}$","9.13","3.69","13.09","0.38","24.77"
"$\sigma_{sitexmethod}$","12.89","5.5","18.39","0.48","36.13"
"$\sigma_{\alpha}$","59.46","50.36","66.66","37.73","89.76"
"$\sigma_{y}$","84.57","82.47","86.53","78.88","91.01"
"$N_{sp}$","17","","","",""
