"","mean","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$","316.41","311.01","321.54","299.27","333.71"
"$\mu_{site}$","-1.2","-1.78","-0.62","-2.89","0.51"
"$\mu_{method}$","-6.41","-9.15","-3.68","-14.64","1.86"
"$\mu_{sitexmethod}$","2.15","1.36","2.91","-0.1","4.47"
"$\sigma_{site}$","1","0.42","1.43","0.03","2.73"
"$\sigma_{method}$","15.14","12.73","17.02","10.11","23.17"
"$\sigma_{sitexmethod}$","1.2","0.48","1.7","0.04","3.31"
"$\sigma_{\alpha}$","31.87","27.47","35.3","22.11","46.96"
"$\sigma_{y}$","15.05","14.91","15.19","14.67","15.46"
"$N_{sp}$","15","","","",""
