"","mean","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$","424.96","413.29","437.11","387.75","458.74"
"$\mu_{site}$","-31.66","-39.63","-23.74","-54.08","-9.28"
"$\mu_{method}$","-0.5","-7.29","6.22","-19.96","20.45"
"$\mu_{sitexmethod}$","-40.35","-48.17","-32.56","-63.08","-17.8"
"$\sigma_{site}$","21.46","11.46","29.44","1.25","49.34"
"$\sigma_{method}$","17.09","7.8","24.21","0.88","43.7"
"$\sigma_{sitexmethod}$","25.62","16.26","33.8","2.66","52.91"
"$\sigma_{\alpha}$","62.95","53.51","71.16","40.91","93.12"
"$\sigma_{y}$","71.54","69.73","73.28","66.63","76.75"
"$N_{sp}$","18","","","",""
