"","mean","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$","625.44","601.53","654.55","542.03","686.12"
"$\mu_{site}$","-9.14","-9.47","-8.81","-10.14","-8.12"
"$\mu_{method}$","10.9","2.61","18.91","-11.39","35.01"
"$\mu_{sitexmethod}$","-0.26","-0.45","-0.06","-0.82","0.26"
"$\sigma_{site}$","1.65","1.32","1.89","0.97","2.76"
"$\sigma_{method}$","0.8","0.31","1.13","0.03","2.39"
"$\sigma_{sitexmethod}$","0.02","0.01","0.03","0","0.05"
"$\sigma_{\alpha}$","96.8","77.58","113.07","53.04","159.98"
"$\sigma_{y}$","15.6","15.45","15.74","15.18","16.01"
"$N_{sp}$","15","","","",""
