"","mean","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$","306.04","302.37","309.82","294.54","316.85"
"$\mu_{site}$","-17.13","-20.24","-14.11","-26.63","-7.89"
"$\mu_{method}$","5.65","3.45","7.87","-1.17","12.4"
"$\mu_{sitexmethod}$","-13.47","-14.65","-12.27","-16.97","-10.01"
"$\sigma_{site}$","18.38","15.64","20.55","12.45","27.44"
"$\sigma_{method}$","12.16","10.23","13.76","7.95","18.51"
"$\sigma_{sitexmethod}$","3.69","2.06","5.07","0.31","8.34"
"$\sigma_{\alpha}$","21.03","17.96","23.41","14.71","31.42"
"$\sigma_{y}$","20.36","20.18","20.54","19.86","20.85"
"$N_{sp}$","15","","","",""
