"species","gdd","provenance","method"
1,469.595409477104,42.4736988060227,1
1,501.629220043532,39.0142155378867,0
1,451.556154253636,45.5287899842354,1
1,504.784972997381,38.2066469220079,0
1,509.072639027386,38.5763107942986,0
1,473.376345836121,42.7783352171393,1
1,583.449041706066,43.9111397686911,0
1,534.842889542319,37.8312130816646,0
1,475.012551489869,35.8791163317871,1
1,521.276666798113,36.0859489060483,0
1,397.142017375258,31.1952001619839,1
1,445.358376286094,36.9776944202063,1
1,500.530484622598,46.3107680733789,0
1,431.832089109377,42.1114691879871,1
1,514.700300715928,37.2185554217206,0
1,431.94812630979,37.4181332785903,1
1,447.000783245963,42.5068313198289,1
1,468.191547155428,38.4033732098198,1
1,425.52146060795,38.7689880596047,1
1,452.84544649583,45.198225484815,1
1,516.325637623943,32.602878128191,0
1,553.689770539529,47.6003528219633,0
1,526.899182195624,45.640242240538,0
1,511.846009636599,43.2270518724496,0
1,448.486305082713,45.068089374708,1
1,525.167836212136,39.9592868964789,0
1,473.821555913264,48.3416745361135,1
1,559.534232670419,47.3829421733779,0
1,525.494259827646,41.6664640124479,0
1,489.894879105997,34.0282958831094,0
1,401.752974626416,34.5680561271664,1
1,433.191869907823,41.3881641776111,1
1,471.113321106291,44.0642751848093,1
1,454.74901171556,41.491111066484,1
1,534.02216418224,47.1951634646303,0
1,427.414986304731,41.1135099546579,1
1,494.087077636632,27.672363875042,0
1,440.908827401402,49.5887414148322,1
1,507.051719279568,50.2432466571217,1
1,514.450910520612,40.8122855027303,0
1,411.990508714243,36.4577133634939,1
1,544.476063328261,40.0415110533659,0
1,418.772978425082,38.9563894651324,1
1,504.191099791592,43.2553324600732,0
1,425.389347358281,38.4373825935546,1
1,514.835947046853,43.8938305116497,0
1,550.328272342466,52.0818133045699,0
1,480.072911868193,37.7472449689777,0
1,533.517549740426,42.7540316084971,0
1,419.840377164844,40.4929265038615,1
1,461.351773359812,44.1731888046837,1
1,553.144899903387,42.7769661855781,0
1,441.610056070193,38.4033732098198,1
1,441.235856134285,31.4291970267302,1
1,523.30034624812,45.513632292002,0
1,458.201360211177,46.0302454835375,1
1,532.290954970386,40.750948878611,0
1,458.583021156444,43.4452015192747,1
1,539.485725967462,40.8130906227345,0
1,402.642165404744,37.7472449689777,1
1,410.20265344689,38.6697453284953,1
1,449.683843739312,38.816339680616,1
1,535.579062037842,48.711252697034,0
1,495.954122416794,44.1518766745958,0
1,453.430009126048,41.2987657582873,1
1,450.46736915064,30.2262815557858,0
1,479.725284436384,39.6032688241084,1
1,429.664315518749,35.191804505639,1
1,502.01335879272,36.8655686171801,0
1,473.244203077285,40.3812830364065,1
1,553.283934869297,43.5178763568687,0
1,450.444495423344,40.8315284610884,1
1,506.644874313863,39.9295709160828,0
1,442.542103303699,45.6519114563003,1
1,487.046054284433,48.711252697034,1
1,463.0137978596,41.116328118128,1
1,480.92968848313,38.691459911406,1
1,539.300912154167,47.41776812258,0
1,453.660816374845,38.6697453284953,1
1,578.507978110307,46.8891644229601,0
1,448.795889113017,47.3963421382497,1
1,448.818642133266,46.2471101220229,1
1,461.350329562328,40.8676204808314,1
1,498.454506883495,34.684051113768,0
1,452.309384815502,36.6253136070476,1
1,505.759079210312,36.1797210744147,0
1,541.522393219564,49.7576293913018,0
1,438.857239233719,35.397283972965,1
1,536.333097301438,48.2534123479678,0
1,447.596408118801,45.2855954637118,1
1,535.222820309761,41.5279532273574,0
1,433.734600592775,41.7848274916697,1
1,557.330593145782,50.1389070674287,0
1,501.26665389092,42.8909577449045,0
1,497.8496756825,38.7803642156748,0
1,538.830450105602,51.4435581712427,0
1,433.137176810492,44.1731888046837,1
1,539.539774838199,43.1281036669171,0
1,545.765383114392,38.7931432505868,0
1,412.612629393054,41.3884992107991,1
1,487.201808646992,43.3656618200468,1
1,468.27941181623,46.2471101220229,1
1,534.97924815728,51.0835230537834,0
1,547.279631878173,40.8216529578015,0
1,547.794161031462,47.5506673309472,0
1,428.568571361257,37.6677841689274,1
1,505.15596323435,41.0485036964568,0
1,502.182426222541,44.622544257119,0
1,451.771813616602,41.7682782847291,1
1,512.246567701454,48.3644947443905,0
1,433.838807654884,37.5619157745444,1
1,504.403833967451,41.1836771605735,0
1,523.664086869913,43.8375866757586,0
1,382.947057165063,34.8741026709674,1
1,443.779444036664,33.9730406412006,1
1,552.186622519543,46.3250256078323,0
1,513.010025242027,36.649435739118,0
1,525.111778170306,40.0415110533659,0
1,408.519298660519,43.5249800738096,1
1,549.652195212056,44.6908992749301,0
1,439.883006258321,47.4317838046259,1
1,426.043594569787,29.8930619964173,1
1,425.776970573434,37.9768080052708,1
1,523.489514743134,38.8434403188758,0
1,540.090495530544,41.1755243422459,0
1,540.630120504815,38.0198743157499,0
