"species","gdd","provenance"
1,-838.339368054364,44.9858126225879
1,-375.310506665282,29.6688347468172
1,-492.045750487101,31.6346682569015
1,-1298.52192562979,65.4272405366795
1,-1370.6092763749,57.4138344139828
1,-1441.13327642628,57.7617232757063
1,-1232.33718794829,56.6690125176951
1,-590.563760493976,32.171619815626
1,-413.08894381201,38.0650823179939
1,-1146.71782569897,51.5733128964124
1,-770.883995891073,39.8440216220583
1,-860.167403542652,45.9035187800762
1,-365.752853054581,29.6688347468172
1,-121.928304080359,24.3187949732384
1,-635.991867971107,36.6077676784464
1,-712.397526260507,42.1291555266877
1,-873.292224138964,51.5216056477145
1,-975.998915472071,46.9521584691386
1,-761.941131461386,41.1044292499144
1,-845.550651065205,40.745643651943
1,-568.486797698599,33.6348591878881
1,-828.844411443831,40.0510500317892
1,-1195.38279882297,58.999197451692
1,-1281.57121024403,56.6690125176951
1,-966.327486174695,57.7615689152696
1,-1044.08185337715,52.3934876582195
1,-1267.16417898656,51.963410869125
1,-878.401640667295,45.1904883909557
1,-417.088842147666,36.5686701120533
1,-827.646012068425,43.9992474334813
1,-529.409299628498,40.4395811800001
1,-1381.93083482831,61.5091557897523
1,-985.000766969753,46.6699799718463
1,-1047.67814478025,52.9522905802393
1,-914.867981890291,45.9413028922529
1,-367.783019148944,34.1680485283775
1,-832.564517297238,42.7089046934607
1,-542.299556428431,37.8078598072033
1,-569.40854162237,39.8440216220583
1,-1215.45613143773,52.4931696413332
1,-967.77003679495,52.4367507576318
1,-622.186613274918,36.0269315644853
1,-779.497083243639,39.6231186772552
1,-1186.23942243869,53.4539911362767
1,-357.933209245028,35.7660897339295
1,-1325.83175577105,56.6690125176951
1,-815.330642100238,45.8321649390369
1,-1081.09582661859,54.7038689951637
1,-1324.29105485705,57.6132620021234
1,-679.514969218057,41.5630073089655
1,-639.620424200055,37.5503418628893
1,-596.969489026362,40.7867964321647
1,-1175.84739494247,51.6533440543224
1,-1279.59393300301,52.8571999584827
1,-787.898293931058,44.3675993611078
1,-1217.22533558576,56.2898194364303
1,-713.647386277653,43.4968847636416
1,-894.229824644677,47.6254159355458
1,248.000914833636,15.4553287934265
1,-680.856547998038,41.3676054208291
1,-985.474264527125,54.0933977184936
1,-955.761040838408,51.8090505732797
1,-1213.90794457246,50.2960296892134
1,-639.245342424327,42.7633400074891
1,-1302.80178411738,61.1083198401009
1,-1141.56037626324,53.3807531923289
1,-709.005827837995,40.7704037117645
1,-893.491614492855,43.8836914369496
1,-1359.72945699694,60.0208722343985
1,-627.35562728344,40.4809477991386
1,-1362.02040061835,56.2455608908023
1,-1030.0288629887,51.8999328991854
1,-565.734651968507,35.6833291963682
1,-974.294946036928,50.4557336854619
1,-567.953348515027,39.5069220813331
1,-840.298631848437,45.3800511779683
1,-1090.96903921924,50.316520447042
1,-1152.07687004835,53.2607646736902
1,-984.882495812195,47.4688094250424
1,-586.8924549686,43.3110763833136
1,-1071.03765761304,50.5354037575187
1,-1167.367507306,52.8707418521463
1,-1188.0488885959,54.5339803395709
1,-783.64145152648,44.1553152441199
1,-647.118979922506,36.4828992405503
1,-1300.41793241562,57.7617232757063
1,-756.490659716023,47.3907190130327
1,-1236.24146062956,59.3042478459955
1,-1061.12870794246,51.8173517535572
1,-790.835359372262,41.1678653291532
1,-924.578376498016,42.9114113072647
1,-516.294892196654,38.0132895010096
1,-390.778192493933,35.4019000942904
1,-522.525530577045,35.5928896584389
1,-689.646777196841,42.1387121245569
1,-951.856321839161,46.1554054477713
1,-932.475723209926,50.159552538006
1,-1431.21410414031,59.4681720728391
1,-1090.10346693273,56.8707104787781
1,-1060.05073937005,48.2472410370799
1,-1104.90181937888,52.9522905802393
1,-1322.38905513766,59.2110461958728
1,-803.415339584402,44.5288006604349
1,-289.611055778624,30.572530556993
1,-1366.52076147612,60.8955501539934
1,-484.885973499075,36.8707032608732
1,-543.077119032283,37.9094551358457
1,-1230.62709331001,54.2426666502015
1,-452.148023457149,30.6764075690907
1,-1157.68462209613,56.2119666148415
1,-540.301862955828,38.1822548906857
1,-659.460318939189,39.7849811531166
1,-1172.03173324591,52.9627628288141
1,-796.321963631563,43.6069855856371
1,-1367.71296614775,59.6204520611932
1,-1316.44252474732,61.3193500093817
1,-386.535451151284,28.4330212423514
1,-663.31687639591,45.7456297050457
1,-1156.93135572559,53.3278430371196
1,-946.661964927072,41.6503723908424
1,-736.310270647603,42.3768738875666
1,-719.060029482664,40.0510500317892
1,-652.01278683855,37.6623961505675
1,-1027.16709561363,51.9981480110986
1,-1066.5701547708,50.7894447468029
1,-588.247267512507,34.6047923998799
1,-1105.87616694734,51.4666572141386
1,-980.31558785016,52.2625896005433
1,-872.249520174321,42.6325408656972
1,-846.652006621251,51.0777065582688
1,-507.711089534181,31.2272381577934
1,-741.479624811137,44.0215049442637
1,-729.052912598695,44.9914050978243
1,-784.605237812769,45.8321649390369
1,-1227.30240749548,53.583599204836
1,-360.84339027456,31.5512395457646
1,-876.741198845699,46.6945429981225
1,-1146.11710924312,57.6132620021234
