"species","gdd","urban","provenance"
1,-2423.44376373079,0,48.412580310826
1,-3234.57116580465,0,61.8343795797954
1,-2772.97848398116,1,52.7122673692849
1,-1339.01521828201,1,26.3688499418303
1,-3647.14136495181,1,69.8361284064978
1,-2853.22400351989,0,48.5092908844902
1,-2611.17308483884,1,47.5890589074575
1,-1866.85207067,0,40.9577965529064
1,-2329.30859759201,1,44.5581298971318
1,-1876.39858877156,1,38.9357950519533
1,-3748.30430011482,1,66.5794709837344
1,-2634.61702108309,1,46.0519663380065
1,-2505.02175008434,0,47.5626887798962
1,-2753.76603385307,1,54.8002516078014
1,-2359.24625995584,0,44.3603626946546
1,-2292.15450800321,1,45.1423684868272
1,-2860.15894164817,1,50.2235076053793
1,-1835.23832006625,1,39.0627311415952
1,-2694.61889874726,0,54.9668901338574
1,-2944.04550479543,0,53.2213867399928
1,-2100.04588964019,0,41.2689020063624
1,-3176.53257742808,1,51.6646990269044
1,-2930.00340408598,1,53.1985434141109
1,-2112.89107050005,0,48.297243910941
1,-3000.0071229233,0,56.4757257189459
1,-2965.99458896878,0,52.7161238143509
1,-2810.8130721489,0,52.0647294671189
1,-1288.55714267071,0,21.2150526670279
1,-2728.95891324903,1,49.8701100340649
1,-2087.91979458566,0,39.7378092751371
1,-2882.74889160835,1,57.7574152560513
1,-1937.10899299306,0,35.0351837657227
1,-2674.78178630101,0,52.7133769473292
1,-3503.58617537722,0,63.0982708330864
1,-2430.37899433369,1,46.652217155393
1,-3045.56036368624,1,56.4070277443078
1,-2158.39004856945,0,46.9770627135585
1,-2257.15989401156,0,38.6990068078127
1,-2415.04052216124,0,45.4627247001535
1,-2014.49366705836,1,41.6435549202281
1,-2765.39675068717,0,49.1171952013414
1,-2805.00995080373,0,49.708889575983
1,-2014.72944804168,1,40.1209754940853
1,-2673.32655653787,1,49.1467269483372
1,-3421.04025171455,0,68.5323123279672
1,-1851.05390012954,0,33.6853207635566
1,-2067.78073072376,0,36.7889041639424
1,-3539.7805624481,1,61.1176487826736
1,-2166.36484260473,1,41.9364351192795
1,-1614.78288513297,1,31.872791268852
1,-1590.8358575681,1,28.9872414505594
1,-3777.16308991836,1,67.6633410914706
1,-2120.92422548357,1,31.4709487794429
1,-2133.3222683396,0,39.7052638384968
1,-1679.86089824152,0,39.3245039569723
1,-1475.69612043325,0,36.5995019713901
1,-3757.29269173449,0,65.5015397440733
1,-2803.26571958062,1,46.8899629823447
1,-3064.20960199171,1,47.5626887798962
1,-2536.9883489724,1,47.9380160331474
1,-2226.28338434026,1,36.619577076302
1,-2094.83889898109,0,39.1103399288056
1,-2593.18573310366,1,47.5265722364231
1,-3640.95377236809,1,64.5700891091841
1,-2155.86264361018,0,45.8674847367917
1,-3320.07814939776,1,54.7212844365069
1,-2465.81778363608,0,52.8773508082835
1,-3338.13416123785,1,63.0982708330864
