"species","utah","urban"
1,843.764407748037,1
1,891.097820174171,1
1,788.570254313828,1
1,857.670123354012,1
1,1039.75954508163,0
1,1131.03108246287,0
1,883.957003454895,1
1,1080.06682841324,0
1,816.211824488024,1
1,846.639205879986,1
1,872.967956458519,1
1,867.87734504729,1
1,824.029052419581,1
1,1069.97002957592,0
1,821.266230252825,1
1,905.630755688832,1
1,865.96727551172,1
1,1059.3331314881,0
1,827.891696454311,1
1,799.66520860123,1
1,1074.32771217656,0
1,875.627994192892,1
1,1035.01383839421,0
1,1016.05162125619,0
1,1086.77949066241,0
1,1036.66185839152,0
1,791.692308700595,1
1,1020.72483124424,0
1,807.44436206572,1
1,818.330450158336,1
1,833.160586323441,1
1,789.453810350038,1
1,1061.98011863286,0
1,842.516379816729,1
1,820.238469800377,1
1,1088.226424259,0
1,895.910337473777,1
1,909.054671744351,1
1,834.35495039986,1
1,827.157564800884,1
1,830.885701664489,1
1,902.150668310228,1
1,1120.2151900871,0
1,1024.78090545345,0
1,995.378211812705,0
1,1029.68679258141,0
1,1072.97942633665,0
1,817.462797584265,1
1,1059.58828700528,0
1,813.880666197515,1
1,817.677865741435,1
1,1109.30802196904,0
1,1012.55901955516,0
1,798.650001602615,1
1,1062.40733254706,0
1,855.361602184766,1
1,1090.01119525902,0
1,1078.73426296433,0
1,821.440103072954,1
1,890.497152354943,1
1,1056.6519169778,0
1,792.79093422963,1
1,1078.08915309894,0
1,811.669026430055,1
1,837.255331932995,1
1,1023.25983538953,0
1,1064.43434739634,0
1,860.471944799273,1
1,1042.15994032693,0
1,1025.91326195996,0
1,1083.46838765145,0
1,996.070541024494,0
1,841.729347585594,1
1,878.325826929698,1
1,819.510773428149,1
1,1075.91292696511,0
1,1033.78021814957,0
1,1036.10138741403,0
1,1043.29883310288,0
1,815.593215836675,1
1,1000.71357223292,0
1,823.41704038004,1
1,1051.19374973259,0
1,1008.16618059464,0
1,828.998520744397,1
1,813.445888666864,1
1,848.560860652156,1
1,1023.95129148252,0
1,849.840055451013,1
1,885.99906798403,1
1,1059.60179613097,0
1,1069.89487813968,0
1,1023.66090601595,0
1,1024.19236574232,0
1,798.209557188124,1
1,803.630087439583,1
1,848.299346030239,1
1,860.595466620297,1
1,846.094113160701,1
1,837.532883710464,1
1,1077.06325724514,0
1,875.962016702856,1
1,838.040213966813,1
1,1046.74638921187,0
1,886.60487439256,1
1,894.470559049388,1
1,1035.66526594318,0
1,822.450242415329,1
1,1039.43924920936,0
1,806.569043094008,1
1,831.734012995088,1
1,1056.10428478408,0
1,863.136609918293,1
1,793.084441794054,1
1,1016.33559530918,0
1,1030.2691721265,0
1,1063.98592607491,0
1,1059.71125408688,0
1,1011.85570892286,0
1,833.099584904666,1
1,797.962294093661,1
1,1095.37620122416,0
1,814.276251916595,1
1,1002.63606018484,0
1,1038.74750729878,0
1,1006.02072710503,0
1,848.860823556886,1
1,1020.87195077753,0
1,837.445944157051,1
1,847.777387185524,1
1,859.327338939579,1
1,843.001296423006,1
1,847.53341832447,1
1,1032.89967024613,0
1,810.645833375309,1
1,1053.84488116701,0
1,852.887184787556,1
1,814.248211208306,1
1,1015.97499385816,0
1,834.411432171224,1
1,1036.64854646569,0
1,848.216620150807,1
1,1058.473460311,0
1,860.513197820744,1
1,1071.79971936579,0
1,774.295110639729,1
1,855.059104132132,1
1,1017.84241186301,0
1,1091.25893758114,0
1,839.274757371774,1
1,876.388910139993,1
1,813.057305554381,1
1,1051.31513127203,0
1,1026.35822775801,0
1,1031.5920533506,0
1,1029.51396297558,0
1,850.543689313125,1
1,825.89478406345,1
1,1091.51569442202,0
1,1043.46233493652,0
1,779.091655998544,1
1,1014.42251964401,0
1,1001.04491669192,0
1,1021.6077246399,0
1,878.331000482584,1
1,1015.38188222105,0
1,1082.86702238696,0
1,1046.69781819592,0
1,1067.65874087611,0
1,873.325409161009,1
1,827.551315219992,1
1,875.300858948286,1
1,811.452390305031,1
1,851.085764424091,1
1,1068.36347561988,0
1,1039.99138363604,0
1,850.908779980245,1
1,793.233574656931,1
1,1008.06995555688,0
1,856.116107663074,1
1,843.143370202364,1
1,850.905631384354,1
1,833.042075824255,1
1,818.756660874957,1
1,842.806863233984,1
1,1029.81808427824,0
1,1079.70844575116,0
1,1064.72242519295,0
1,833.846680621133,1
1,826.91425824879,1
1,1074.36173361941,0
1,1045.20394893901,0
1,824.431308524001,1
1,980.461039378459,0
1,1027.66121818546,0
1,1033.53086761762,0
1,825.201758023434,1
1,1016.02426607012,0
1,809.78131341085,1
1,1055.25425092086,0
2,1123.24491571472,0
2,907.531615552649,1
2,1057.34110191459,0
2,1142.00645051025,0
2,1008.13161051231,1
2,1078.48671200914,0
2,1087.82830226471,0
2,1082.61927325422,0
2,963.781940329908,1
2,1136.43472818556,0
2,1100.68084223145,0
2,1064.34729912354,0
2,985.176312902453,1
2,1095.91834491616,0
2,977.887099306042,1
2,952.168972063822,1
2,1111.79351882238,0
2,1084.97582714425,0
2,1124.89201532753,0
2,934.608675110629,1
2,1071.0948390296,0
2,948.600469637952,1
2,1006.86764413959,1
2,1032.99953919769,0
2,1088.47919195352,0
2,979.578486741319,1
2,982.090925579781,1
2,1102.90197476395,0
2,920.616435265445,1
2,975.702652074908,1
2,956.320333081919,1
2,1080.52646653515,0
2,969.731733387043,1
2,991.420890439604,1
2,1094.05325400352,0
2,963.847865701396,1
2,935.883522780107,1
2,943.646430565951,1
2,1068.65899468647,0
2,988.575799037068,1
2,1106.19323600301,0
2,967.614857193058,1
2,893.44697013475,1
2,1137.57779321735,0
2,1032.38905702966,0
2,901.328629652773,1
2,985.051219621141,1
2,1117.1442208409,0
2,1133.76445298929,0
2,1132.92303508759,0
2,1055.94934408967,0
2,1072.32001237732,0
2,1114.45247348687,0
2,1115.64912594961,0
2,949.061835998886,1
2,1079.03889958131,0
2,1060.75889267423,0
2,930.62852688779,1
2,930.629517081272,1
2,999.461475710616,1
2,960.454126281615,1
2,1111.21460207772,0
2,1091.32840599116,0
2,1061.50256827129,0
2,1070.04652478253,0
2,910.087163011569,1
2,1129.950910764,0
2,1083.23754668983,0
2,919.940125278877,1
2,995.270121995554,1
2,962.845116208558,1
2,960.510539069823,1
2,921.379112942217,1
2,971.590809883555,1
2,963.649691539204,1
2,888.283771066415,1
2,1123.23647139971,0
2,882.140869901042,1
2,953.40124440905,1
2,1107.58975369534,0
2,1090.48367012099,0
2,948.680931204594,1
2,997.927829676241,1
2,1019.13685103425,0
2,1117.42576607796,0
2,1135.79626381135,0
2,942.338949585245,1
2,1043.64553557871,0
2,954.182324362226,1
2,960.35600067251,1
2,1070.52446046708,0
2,1095.40182558898,0
2,997.679465411455,1
2,955.552299037,1
2,1061.51891165026,0
2,950.598331309001,1
2,985.824701288531,1
2,1105.53148725176,0
2,961.823500711516,1
2,927.148129709652,1
2,947.307366736849,1
2,1119.47137216569,0
2,934.715439360031,1
2,955.400502647513,1
2,914.894824515121,1
2,1082.91894156925,0
2,954.389633279156,1
2,943.019670874962,1
2,888.296930878234,1
2,966.345743060628,1
2,953.64435083997,1
2,1092.47803448573,0
2,932.530366747187,1
2,943.299897770858,1
2,934.899466259162,1
2,988.470450649054,1
2,1108.99536052206,0
2,970.362217387301,1
2,1118.3335782041,0
2,1089.01242398511,0
2,963.454419799842,1
2,940.873809500213,1
2,1086.76232444444,0
2,978.583872074304,1
2,1118.67942623378,0
2,908.667966493148,1
2,975.366143065919,1
2,926.095172143533,1
2,958.362385296664,1
2,936.205368686403,1
2,1106.56972547777,0
2,947.598086390547,1
2,1111.44142140556,0
2,1047.9476471138,0
2,973.346939546029,1
2,907.236431190393,1
2,1078.57156280103,0
2,1089.37369432227,0
2,924.387717699125,1
2,963.476176630744,1
2,925.504955998698,1
2,907.368870105672,1
2,957.444526877607,1
2,936.00011083047,1
2,1119.89268901988,0
2,984.614094179774,1
2,1078.01417570211,0
2,977.38019641484,1
2,1082.38004942559,0
2,882.587159151628,1
2,917.115151954045,1
2,987.153671828755,1
2,931.456936506043,1
2,1097.59307954801,0
2,1136.49588643774,0
2,908.095881963763,1
2,906.258982999078,1
2,1100.53392543679,0
2,1019.72734717807,0
2,999.835652847567,1
2,916.699047253528,1
2,1096.68283294657,0
2,1013.49106461543,0
2,1087.74361866374,0
2,990.883973828605,1
2,920.530071942557,1
2,1093.43357048754,0
2,958.39959090321,1
2,1149.55000599206,0
2,1069.34535916392,0
2,1086.88724071766,0
2,958.267958985846,1
2,1016.39410785337,1
2,1064.95430791164,0
2,973.260625939621,1
2,1127.41467599606,0
2,1109.4419619444,0
2,962.699571492412,1
2,951.97379684384,1
2,948.139887329323,1
2,1048.01137509197,0
2,983.616361751402,1
2,1156.24940234148,0
2,963.537948440905,1
2,906.683099751047,1
2,897.285281914071,1
2,1099.4445154689,0
2,913.108453245024,1
2,908.079182056144,1
2,1116.49951866808,0
2,1044.50237787323,0
2,1088.16538231359,0
2,933.743170432784,1
2,917.969202011167,1
2,943.133035585239,1
2,1109.30399372323,0
2,926.935594636267,1
2,945.244751354036,1
2,997.098886481868,1
2,1011.08429917767,1
3,1148.77516099671,0
3,1178.00777383368,0
3,984.33038914084,1
3,1284.33977358925,0
3,943.748824214088,1
3,1188.43637600576,0
3,1229.38507773465,0
3,1008.00082149356,1
3,1176.14633733619,0
3,1217.17766904697,0
3,1233.55514373344,0
3,1288.56046847613,0
3,988.718194062709,1
3,1188.73657118429,0
3,1003.84521521264,1
3,1239.70881467283,0
3,965.949837466539,1
3,959.3987106399,1
3,988.785264670859,1
3,932.59535254555,1
3,961.191757610555,1
3,1242.79678952468,0
3,1003.18807557395,1
3,1224.41439095344,0
3,1192.3184714704,0
3,1240.29811700865,0
3,1186.62211988765,0
3,1182.05371574875,0
3,941.551157349107,1
3,1243.46840425586,0
3,1237.47325714442,0
3,1213.27604761921,0
3,911.342553199885,1
3,952.583779199672,1
3,1207.32898142304,0
3,1234.15722785298,0
3,930.287044838004,1
3,911.272342989228,1
3,1186.62394810925,0
3,1264.92743331955,0
3,936.287942722501,1
3,950.81859735455,1
3,948.147008831532,1
3,1212.56810457707,0
3,1196.14360885603,0
3,975.647963075916,1
3,952.478002964293,1
3,1237.83009412802,0
3,982.91208858659,1
3,949.324040024873,1
3,1284.49987804094,0
3,1198.22389374579,0
3,985.368026134495,1
3,968.675390121184,1
3,935.542037104075,1
3,909.976072410467,1
3,1230.74188713886,0
3,1227.46144676198,0
3,1004.98181628735,1
3,996.258653563894,1
3,1177.67860788864,0
3,1210.07931298714,0
3,1014.8654170199,1
3,1025.69979998226,1
3,1188.93337014256,0
3,979.801613824689,1
3,1012.00916716026,1
3,953.197608539819,1
3,989.089881955081,1
3,1009.03600143339,1
3,953.997581463899,1
3,974.175462232529,1
3,977.458184339954,1
3,976.873889060228,1
3,1259.21604585813,0
3,968.107657471258,1
3,1243.05496901917,0
3,1030.09022067983,1
3,966.126379717405,1
3,1178.92846651203,0
3,948.9627262188,1
3,1210.69500583519,0
3,968.190884709879,1
3,1012.64618350696,1
3,959.205367232942,1
3,1216.89818061796,0
3,1301.0058391085,0
3,1227.46915766567,0
3,982.41232429526,1
3,1216.23208420894,0
3,1251.62872169866,0
3,981.829304663962,1
3,1198.56877653541,0
3,978.062744472459,1
3,991.813880053895,1
3,999.618821842352,1
3,961.373183085856,1
3,942.144190317731,1
3,987.246879602563,1
3,1010.75890677581,1
3,1239.44282979993,0
3,1232.79233852993,0
3,934.846922343072,1
3,1044.40239988182,1
3,940.352110870267,1
3,1170.91201887363,0
3,1254.03972551093,0
3,982.630476698857,1
3,1228.51050116355,0
3,1191.02508976404,0
