"species","gdd"
1,383.952133844499
1,774.210276489265
1,151.368456493573
1,537.689609382874
1,481.631754457318
1,746.92396213012
1,457.731538124091
1,426.19110792481
1,893.586357395867
1,515.822087623191
1,803.995756929698
1,565.021523283455
1,454.718427540098
1,389.889347384501
1,439.436677178632
1,768.64165802313
1,540.38750246876
1,532.974448856567
1,466.975425495979
1,455.833549651356
1,661.519339043774
1,633.176451588344
1,482.823527986578
1,343.879504857393
1,757.459420372582
1,508.647605231269
1,626.054326602948
1,699.97815750414
1,1036.53950720119
1,422.71735684188
1,855.095071284377
1,573.537748345177
1,337.685108848175
1,612.527970250252
1,953.84788181981
1,684.202835390001
1,868.933162822429
1,473.886648397583
1,314.084772069538
1,472.392490374139
1,518.503015006225
1,795.294330007648
1,544.516396626963
1,823.828518603304
1,651.631039177647
1,559.281578545266
1,447.395553936549
1,594.153761736074
1,611.023250663253
1,955.474248633832
2,591.911910166218
2,651.37258793127
2,1225.01549788867
2,874.250668819413
2,736.34124687665
2,746.910441307132
2,665.890066412068
2,687.741286225661
2,906.705556301445
2,887.896449693715
2,593.650116166819
2,631.031082583967
2,967.57634310235
2,640.210317146198
2,617.991512773809
2,748.641602842486
2,692.399057888712
2,309.697537428438
2,1169.40125593906
2,918.145981926599
2,849.223407250728
2,720.563799966397
2,662.537605797063
2,857.384630427146
2,783.07742223645
2,583.414564368908
2,1050.38620380825
2,636.133635909866
2,669.809808988933
2,643.977982371273
2,1188.99448799506
2,593.958844180835
2,691.721154824517
2,708.707742961838
2,621.716467469497
2,483.083265445706
2,958.567769628549
2,502.534141396423
2,627.447840414895
2,874.295035577013
2,597.534991661072
2,795.327255220322
2,1049.76441142339
2,320.845513637591
2,672.68291230328
2,637.979139295345
2,532.769492377551
2,1163.00908586931
2,790.134500470708
2,674.128809204484
3,323.173500026074
3,289.87166176224
3,808.080569161508
3,566.275005254521
3,296.404559845112
3,875.402752011686
3,801.739433065018
3,807.477849851432
3,611.224114571088
3,658.199757933524
3,594.701872238547
3,922.831423861175
3,749.140667082992
3,677.986455806934
3,581.585397100475
3,179.06650188858
3,549.440437301418
3,512.524216427967
3,970.296001941621
3,608.920131863028
3,714.445591294747
3,675.07455286635
3,403.215570042615
3,398.674267281857
3,621.110220563875
3,613.753539004195
3,374.509430077208
3,739.836123668209
3,748.934084656608
3,810.534983076428
3,190.612457677472
3,800.22622156588
3,1066.36269495355
3,425.817554423449
3,818.326206695361
3,274.440711059633
3,330.015761405018
3,847.913192552817
3,655.508752222451
3,585.281672506684
3,786.776080233628
3,675.593506027829
3,936.969136224218
