"species","gdd"
1,537.792276570552
1,620.179392252438
1,600.517257088926
1,545.970580226337
1,546.259317477724
1,552.337487813889
1,669.592966753972
1,691.251104405705
1,655.201190637193
1,560.383414387591
1,578.603387253168
1,627.938825712683
1,627.468559724329
1,622.723626782403
1,603.717460716347
1,519.380261749757
1,578.777741966544
1,564.855647816289
1,587.473365494945
1,568.110441532287
1,547.603310217762
1,573.642482424958
1,640.115057203294
1,589.473878630868
1,595.939071112707
1,635.976391175676
1,547.428104776961
1,593.857065389823
1,630.713146526138
1,597.781718026406
1,603.631187763719
1,558.492399131584
1,588.360618878968
1,595.997038883722
1,606.973972782916
1,564.809146718838
1,677.956317584903
1,580.019437160305
1,556.307899319618
1,650.109309391905
1,576.656908827974
1,570.742274209083
1,584.184014537915
1,721.466405970396
1,567.191344349161
1,597.372911120363
1,675.641244334836
1,650.517789847253
1,489.942715014566
1,615.637706504669
2,746.774575681211
2,724.666087419746
2,782.845990386893
2,724.982531279842
2,675.268381117399
2,671.421481156769
2,669.769750686078
2,762.429028039582
2,672.068441324615
2,681.540393860548
2,775.572137757305
2,676.869438319339
2,667.165349208098
2,658.421214605166
2,632.557715485062
2,681.310274626304
2,617.300866097857
2,658.978487999308
2,668.250702156203
2,749.34025835191
2,661.358731593785
2,602.084786807893
2,738.149956706795
2,765.893595443191
2,656.855064757734
2,725.86245595421
2,599.009677531626
2,740.152521371557
2,627.34043036734
2,746.251164150777
2,707.228330719848
2,706.150861400444
2,692.466699801619
2,772.782272527343
2,654.046789698345
2,726.319811730431
2,680.218620713294
2,664.029802492223
2,708.961981076875
2,630.80472881695
2,718.148721285434
2,625.043454026067
2,676.354710853491
2,705.234403909217
2,756.938689551691
2,590.465514729838
2,658.450600875428
2,804.187939301939
2,711.669077096104
2,739.002770098649
3,491.573011577117
3,572.703710242594
3,514.113834094723
3,520.145436151079
3,541.086973314801
3,495.314295304123
3,468.022060025904
3,477.77234224049
3,563.352147750795
3,481.543135976923
3,645.730704865673
3,542.021283192729
3,518.578397638673
3,573.880454135973
3,514.437219875842
3,570.376448427151
3,505.489406992147
3,531.438993154626
3,503.009498526061
3,578.159988541377
3,494.885216646862
3,561.070596864099
3,505.179376464121
3,406.486649989873
